TITLE,AUTHOR,URL
"A Cafe, A Snow Leopard & More: Inside Ladakh’s Unique Ice Sculpture Exhibition",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/276152/kangsing-snow-ice-sculpture-association-ladakh-workshop-pics/
Who Are The Mindtree Co-Founders Who Donated Rs 425 Crore To IISC’s Latest Project?,Anagha R Manoj,https://www.thebetterindia.com/276103/subroto-bagchi-parthasarathy-mindtree-founder-iisc-donation-hospital/
Entrepreneur With Down Syndrome Shares How She Started a Health Drink Biz From Scratch,Vidya Raja,https://www.thebetterindia.com/276098/swasti-mehta-down-syndrome-entrepreneur-mumbai-makes-pudina-punch/
How a Man From Allahabad Established Hyderabad’s Iconic Pen Store With a Sherwani,Gopi Karelia,https://www.thebetterindia.com/276085/hyderabad-iconic-pen-store-deccan-history-sherwani-fountain-pen/
CBSE Invites Applications for CSIR Innovation Award For Students; Prize Upto Rs 1 Lakh,Anagha R Manoj,https://www.thebetterindia.com/276081/cbse-csir-innovation-award-for-school-students/
"16 Countries, One Van & A Dog: NRI Couple Live The Travel Dream Without Leaving Jobs",Divya Sethu,https://www.thebetterindia.com/276064/indian-toronto-couple-travel-world-without-quitting-jobs-van-life-planning/
How I Turned a Dumpsite Under an Overbridge Into a Lush Garden,Anjali Krishnan,https://www.thebetterindia.com/276049/kerala-man-transforms-dumpyard-into-beautiful-garden/
Scientist’s Solar Hamam Keeps 1200 Himalayan Families Warm In The Bitter Cold,Himanshu Nitnaware,https://www.thebetterindia.com/276028/scientist-innovates-solar-hamam-for-himachal-pradesh-villages/
"‘We Did It Our Way’: Telangana’s First Gay Married Couple Speak on Love, Life & More",Yoshita Rao,https://www.thebetterindia.com/276039/india-first-gay-wedding-in-telangana-homosexuality-dating-love/
After Friend’s Death He Quit IIM Dream to Start Eye Donation Centres & Help Over 3000,Gopi Karelia,https://www.thebetterindia.com/275999/deesha-eye-donation-affordable-transplantation-maharashtra-swapnil-gawande/
How Do Tourist Hotspots Manage Waste? Experts Share Lessons from 5 Hill Stations,Jacob Cherian,https://www.thebetterindia.com/275975/waste-management-india-hill-stations-ooty-panchgani-kodai-how-to-dispose/
How to Design Vertical Gardens Anywhere in Your Home with Old Plastic Bottles,Anagha R Manoj,https://www.thebetterindia.com/276015/design-a-vertical-garden-using-plastic-bottles-how-to/
‘Why I Quit My Investment Banking Job to Sell Thousands of Idlis With my Mom’,Vidya Raja,https://www.thebetterindia.com/275988/iyer-idly-bengaluru-krishnan-mahadevan-investment-banker-sells-idli-chutney/
Telangana Man’s Innovation Cuts Electricity Bills Of 400 Villages By 30%,Anagha R Manoj,https://www.thebetterindia.com/275972/telangana-villager-innovates-device-to-cut-electricity-bills-raju-mupparapu-video/
Couple Donate Savings for 20 Years to Help Over 150 Families Overcome Poverty,Anjali Krishnan,https://www.thebetterindia.com/275931/kerala-couple-shinod-bindhu-donate-earnings-to-monthly-welfare-scheme-for-poor/
What a 10th Century Mud Building’s Strength Can Teach Modern Sustainable Architecture,Ananya Barua,https://www.thebetterindia.com/275946/what-a-10th-century-mud-buildings-strength-can-teach-modern-sustainable-architecture/
"The Story Of Vikram Sarabhai, The Genius Who Gave India ISRO & IIM-A",Gopi Karelia,https://www.thebetterindia.com/275938/who-is-vikram-sarabhai-rocket-boys-isro-iim-ahmedabad-video/
Trying To Lose Weight? Here’s What Science Says About Including Imli In Your Diet,Anjali Krishnan,https://www.thebetterindia.com/275922/how-to-lose-weight-with-tamarind-imli-juice-water-recipe-health-benefits/
"Sikkim Farmer Turns Life Around With Organic Cultivation, Income Increases Threefold",Himanshu Nitnaware,https://www.thebetterindia.com/275909/organic-farming-helps-sikkim-woman-increase-income-success-story/
Engineer Toils for 20 Yrs to Create Biodiversity Park With 4800 Plant Species,Himanshu Nitnaware,https://www.thebetterindia.com/275870/engineer-quits-dubai-job-builds-biodiversity-park-rare-species-plants/
Ambulance in 8 Mins? Meet The Man Bringing Emergency Care to Your Door ASAP,Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275866/emergency-ambulance-service-stanplus-startup-founded-by-prabhdeep-singh/
"Left Home With Rs 500, Slept On Streets; He Now Offers Meals at Rs. 10 To The Needy",Anagha R Manoj,https://www.thebetterindia.com/275854/college-dropout-hunger-langar-free-meals-for-the-needy/
Kerala Man Helps Households Make Biogas From Weed That Chokes Lakes; Here’s How,Anjali Krishnan,https://www.thebetterindia.com/275841/kerala-entrepreneur-helps-convert-water-hyacinth-into-biogas-lpg-save-money/
Why Two Friends Decided to Cycle Across India & Build Homes for the Poor,Gopi Karelia,https://www.thebetterindia.com/275855/cycling-duo-kerala-one-rupee-mission-build-homes-for-poor-families/
How To Study ‘Environment’ By Shankar IAS For UPSC CSE: 7 Key Tips,Anagha R Manoj,https://www.thebetterindia.com/275837/how-to-study-environment-by-shankar-ias-upsc-quora/
Ice Cream Samosa Shock You? Here Are 5 Unique Fusion Foods Our Ancestors Created,Ananya Barua,https://www.thebetterindia.com/275824/icecream-samosa-ancient-food-combinations-history-trend-viral-unusual-indian-cuisine/
Duo’s Eco-Friendly Cleaners in Biodegradable Capsules Prevent Tonnes of Plastic Waste,Himanshu Nitnaware,https://www.thebetterindia.com/275815/eco-friendly-cleaners-biodegradable-capsules-disinfectants-prevent-plastic-waste/
Meet the College Student Using Social Media to Protect Kashmir’s Traditional Wazwan,Ananya Barua,https://www.thebetterindia.com/275798/kashmir-century-old-recipes-meals-wazwan-college-student-instagram-post/
"Raising $28 Million, This EV Startup Is Set to ‘Electrify’ Delivery Vans in India",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275804/evage-electric-truck-startup-model-point-x-launch-amazon-delivery/
Startup’s Unique Iot Tech Helps 30000 Homes Save Up to 50% Water,Gopi Karelia,https://www.thebetterindia.com/275791/chennai-startup-iot-tech-device-helps-residents-save-water-wegot-app/
Watch: How Kerala School Aims to be Carbon Neutral With Bamboo Gardens & Solar Lights,Anjali Krishnan,https://www.thebetterindia.com/275722/kerala-first-carbon-neutral-school-grows-bamboo-garden-solar-lights/
This Ecofriendly House Has 8 ACs But Pays Zero Rupees in Electricity Bills,Anagha R Manoj,https://www.thebetterindia.com/275769/solar-powered-ahmedabad-eco-friendly-home-has-zero-electric-bills-uses-clean-energy/
India’s 1st Nasal Spray to Treat COVID-19 Gets Green Signal; Check Price Details,Vidya Raja,https://www.thebetterindia.com/275762/fabispray-covid-19-nasal-spray-glenmark-indias-first-where-to-buy/
From Rann of Kutch to Tibet & More: Why I’m Travelling the World with my 64-YO Mom,Anjali Krishnan,https://www.thebetterindia.com/275716/sarath-geetha-krishnan-travelling-mother-son-duo-kerala/
"Startup Makes Bamboo & Wood Pulp Packaging for Amazon, Nykaa; Earns Rs 2 Crore/Month",Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275737/bengaluru-eco-friendly-startup-plastic-alternate-packaging-bamboo-wood-amazon-nykaa/
Why Fruit Basket Makers Designed Drone Bodies For This IITian Startup,Himanshu Nitnaware,https://www.thebetterindia.com/275713/iit-delhi-swarm-drone-tech-startup-republic-day-botlab-dynamics/
IISc Invites Applications from Graduates for 100 Technical Assistant Vacancies,Anagha R Manoj,https://www.thebetterindia.com/275710/iisc-recruitment-for-technical-assistants-how-to-apply-online/
5 IAS Officers Explain How to Answer UPSC CSE’s Abstract Essay Questions,Vidya Raja,https://www.thebetterindia.com/275679/upsc-cse-abstract-essay-question-tips-how-to-write-ias-officers-answer/
Best DIY Mushroom Grow-Kits for Your Garden & 5 Expert Tips to Get you Started Today,Anagha R Manoj,https://www.thebetterindia.com/275609/how-to-grow-mushrooms-at-home-best-diy-kits-expert-tips-amazon/
"Padma Shri at 92, She Dedicated Her life to Feeding & Clothing The Needy",Gopi Karelia,https://www.thebetterindia.com/275513/prabhaben-shah-padma-shri-knit-sweaters-soldiers-cloth-banks-flood-survivors-needy/
ISRO Offers Free Online Course With Certificate on Global Navigation Satellite System,Anjali Krishnan,https://www.thebetterindia.com/275604/isro-free-online-course-global-navigation-satellite-system-certificate-how-to-apply/
Looking To Rescue Injured Pigeons? Just Dunzo It To This Unique Bird Hospital,Anjali Krishnan,https://www.thebetterindia.com/275486/unique-bird-hospital-in-bengaluru-treats-pigeons-for-free-dunzo-uber/
"After Son’s Diagnosis, Couple Dedicates A Lifetime To Care For 500 Disabled Patients",Himanshu Nitnaware,https://www.thebetterindia.com/275488/couple-starts-shelter-for-people-with-mental-disabilities-beru-matimand-pratishthan/
‘The Courage To Go Far’: Jai Bhim’s Rajakannu Began His Career As A Mimicry Artist,Anagha R Manoj,https://www.thebetterindia.com/275456/jai-bhum-oscar-manikandan-rajakannu-mimicry-artist-actor/
92-YO Granny Shows Us How Best To Recycle Plastic Waste Into Stylish Bags & Pouches,Vidya Raja,https://www.thebetterindia.com/275465/janaki-viswam-chennai-granny-recycles-plastic-waste-into-pouches-bags/
Should You Enrol Your Kid For Coding Classes? Here’s How We Decided,Guest Contributor,https://www.thebetterindia.com/275433/coding-for-children-online-classes-benefits-parenting-tips/
Love Schezwan Chowmein & Desi-Style Manchurian? Here’s How ‘Chindian’ Food Won Indian Hearts,Anagha R Manoj,https://www.thebetterindia.com/275426/how-indian-chinese-food-emerged-in-kolkata-mumbai-nelson-wang/
Sister’s Cancer Inspires Blacksmith to Make Smokeless Chulha That Saves 60% Fuel,Himanshu Nitnaware,https://www.thebetterindia.com/275365/manipur-innovation-blacksmith-smokeless-clean-energy-stove-saves-fuel/
"Ministry of External Affairs Offers 75 Internships With Rs 10,000/Month Stipend",Vidya Raja,https://www.thebetterindia.com/275416/ministry-of-external-affairs-mea-internship-how-to-apply-stipend/
World’s First ‘Neoschool’ Teaches Real Life Skills Your Kids Won’t Learn in School,Anagha R Manoj,https://www.thebetterindia.com/275364/stayqrious-educational-startup-company-neoschool-bengaluru/
Knitted With Love: These Women Created Breast Prosthesis For 5700 Cancer Survivors,Vidya Raja,https://www.thebetterindia.com/275375/volunteer-organisation-saaisha-knitted-knockers-crochet-prosthesis-breast-cancer/
"Scuba Diver at 8, Girl Collects 600KG Plastic Waste to Help the Ocean Breathe",Anjali Krishnan,https://www.thebetterindia.com/275373/child-hero-thaaragai-arathana-removes-plastic-waste-from-ocean-scuba-diving/
"Innovative Kit ‘Listens to Your Gut’ to Detect Susceptibility for Diabetes, BP & More",Gopi Karelia,https://www.thebetterindia.com/275359/bugspeak-microbiome-startup-test-kit-gut-health-diabetes-health-check-bengaluru/
I Helped 7 Families Get Rs 13 Lakh in Compensation for Cases of Human Rights Violation,Gopi Karelia,https://www.thebetterindia.com/275334/jharkhand-activist-onkar-vishwakarma-human-rights-compensation-inspiring/
"Delhi’s ‘Nest Man’ Has Built 2.5 Lakh  Homes for Birds, Trained 10 Lakh Students",Anagha R Manoj,https://www.thebetterindia.com/275250/delhi-nest-man-builds-bird-bamboo-homes-trains-students/
"Artist Uses Lime, Mud & Recycled Items to Create Art Village With Its Own Mini Forest",Gopi Karelia,https://www.thebetterindia.com/275227/artist-converts-dumpyard-into-art-village-karjat-eco-tourism-farmstay/
‘Why I Quit My Job to Turn a Mumbai Skywalk Into a Classroom for Slum Kids’,Anagha R Manoj,https://www.thebetterindia.com/275260/mumbai-woman-runs-free-classroom-for-underprivileged-kids-on-skywalk/
"Lata Mangeshkar: 30,000 Songs, Bharat Ratna, & a Fight to Elevate Playback Singers",TBI Team,https://www.thebetterindia.com/275283/lata-mangeshkar-passes-away-tribute-life-songs/
"‘Investing Just Rs 5000, How I Used Mangoes to Triple My Earnings & Empower Women’",Himanshu Nitnaware,https://www.thebetterindia.com/275243/farm-fresh-organic-mangoes-vegetables-fruits-pickles-business/
IIT-KGP Scientists Develop Low-Cost Device That Screens Oral Cancer in 10 Mins,Rinchen Norbu Wangchuk,https://www.thebetterindia.com/275217/iit-kharagpur-innovation-oral-cancer-screening-cheap-device/
Why Science Recommends This Healthy Vegan Milk Loved By Konkan Grandmothers,Anjali Krishnan,https://www.thebetterindia.com/275205/how-to-make-coconut-milk-vegan-health-benefits-recipe-for-sol-kadhi/
‘Barefoot Scientist’ Whose Unique Farm Innovations Won Him the Padma Shri,Himanshu Nitnaware,https://www.thebetterindia.com/275198/barefoot-scientist-farmer-innovations-help-farmers-increase-yield-wins-padma-shri/
